,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
54,2U (feat. Justin Bieber),2U (feat. Justin Bieber),David Guetta,2017-06-09,194896,70,0.548,0.219,0.548,0.65,0.0,0.225,-5.827,0.0591,144.937,4
55,Beauty And A Beat,Believe (Deluxe Edition),Justin Bieber,2012-06-15,227986,70,0.602,0.000688,0.602,0.843,5.27e-05,0.0682,-4.831,0.0593,128.003,4
56,Never Say Never,Never Say Never - The Remixes,Justin Bieber,2011-01-01,227853,69,0.739,0.0181,0.739,0.807,0.0,0.295,-5.063,0.0652,97.048,4
57,Company,Purpose (Deluxe),Justin Bieber,2015-11-13,208120,1,0.59,0.132,0.59,0.797,0.0,0.0846,-4.901,0.0614,94.948,4
58,Baby,My World 2.0,Justin Bieber,2010-01-01,214240,76,0.728,0.0401,0.728,0.859,0.0,0.111,-5.237,0.137,65.043,4
59,One Time,My World,Justin Bieber,2009-01-01,215866,68,0.691,0.0631,0.691,0.853,7.13e-05,0.082,-2.528,0.0372,145.999,4
60,iT's YoU,Mind Of Mine (Deluxe Edition),ZAYN,2016-03-25,226653,63,0.611,0.815,0.611,0.319,0.0151,0.108,-10.743,0.0357,124.92,4
61,"thank u, next","thank u, next",Ariana Grande,2019-02-08,207320,85,0.717,0.229,0.717,0.653,0.0,0.101,-5.634,0.0658,106.966,4
62,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Delirium (Deluxe),Ellie Goulding,2015-11-06,252534,78,0.262,0.247,0.262,0.606,0.0,0.125,-6.646,0.0484,189.857,4
63,Roar,PRISM,Katy Perry,2013-01-01,223546,72,0.671,0.00492,0.671,0.771,7.28e-06,0.354,-4.821,0.0316,90.003,4
64,Blame (feat. John Newman),Motion,Calvin Harris,2014-10-31,212960,75,0.414,0.0287,0.414,0.857,0.00574,0.343,-4.078,0.0808,128.024,4
65,All of Me,Love In The Future (Expanded Edition),John Legend,2013-08-30,269560,85,0.422,0.922,0.422,0.264,0.0,0.132,-7.064,0.0322,119.93,4
66,Without Me,Manic,Halsey,2020-01-17,201660,77,0.752,0.297,0.752,0.488,9.11e-06,0.0936,-7.05,0.0705,136.041,4
67,no tears left to cry,Sweetener,Ariana Grande,2018-08-17,205920,82,0.699,0.04,0.699,0.713,3.11e-06,0.294,-5.507,0.0594,121.993,4
68,New Rules,Dua Lipa (Complete Edition),Dua Lipa,2015,209320,57,0.762,0.00261,0.762,0.7,1.56e-05,0.153,-6.021,0.0694,116.073,4
69,2002,Speak Your Mind (Deluxe),Anne-Marie,2018-04-27,186986,82,0.697,0.0372,0.697,0.683,0.0,0.137,-2.881,0.117,96.133,4
70,Rude,Don't Kill the Magic,MAGIC!,2014-06-25,224840,79,0.774,0.0423,0.774,0.756,0.0,0.305,-4.995,0.0389,144.032,4
71,Havana (feat. Young Thug),Camila,Camila Cabello,2018-01-12,217306,83,0.765,0.184,0.765,0.523,3.56e-05,0.132,-4.333,0.03,104.988,4
72,What Do You Mean?,Purpose (Deluxe),Justin Bieber,2015-11-13,205680,78,0.845,0.59,0.845,0.567,0.00142,0.0811,-8.118,0.0956,125.02,4
73,Señorita,Shawn Mendes (Deluxe),Shawn Mendes,2019-06-19,190799,83,0.759,0.0392,0.759,0.548,0.0,0.0828,-6.049,0.029,116.967,4
